PC1,PC2,Cluster
0.9205312812404618,-0.9637118323964883,2
0.5075967356746834,-1.0818242737240564,2
-0.2287975395569449,0.22460464857424892,1
0.39998327818707685,0.6095818995418493,1
-0.22261938320077831,1.3842863758609503,1
1.8320108641531363,-1.974567917548204,2
1.703422561612041,-1.907075271112958,2
-1.8640973017067377,-0.09917582825777928,1
4.382569877578948,-0.5578186844136973,3
0.8751381603367603,-1.0083929429743435,2
0.7381730344988549,-1.264944824714501,2
-0.3604488220786881,-1.5812875063958438,2
0.0667866717674362,-1.2569513346450363,2
-1.7897484730717332,0.04484141511646448,1
0.1917866119650398,0.503574952352044,1
-1.7402080243035003,0.05174268138957052,1
1.3150913483042515,-0.2249834384362075,2
2.6547784248657944,-1.158461628918565,3
0.34115527040527416,-1.6538289185365478,2
2.517617789704893,-1.1163878306037067,3
-2.101431841779305,-0.13670379445539982,1
0.3540317109997195,-1.0606021364841351,2
0.6701035797138355,-1.3305400788211748,2
-0.7887769025786449,1.2137789518692361,1
-1.4517976686510559,-1.4956282970710593,2
0.691755067487174,0.7731630402475472,1
-0.5347789675940429,0.6168362118266568,1
1.1033914213894205,-0.7615611441023453,2
0.9938731272932827,1.6192797307433142,1
0.6957348336189217,-0.9179719630236701,2
1.1356712066600196,-1.3450448956401082,2
-0.3669716237570707,-2.041150928698945,2
-0.18282939946237434,0.4615327740586945,1
1.431928491893773,-0.27731325100218124,2
1.6529413329449387,-0.8617296313854511,2
1.9227401057148439,-1.9359567166912877,2
1.7519404019067983,0.6982161041167078,3
2.7579839419324057,3.033792539687097,3
0.7595501668475949,-1.1762990146542929,2
-1.0405958395989046,0.4385564317597937,1
-0.247552738214737,-0.3243089362159913,1
-1.1219051571126355,0.18183955646423974,1
0.15949575135781768,-0.41564435048223125,2
0.07907703907584239,-0.23639121231776136,2
1.4320233368466577,-0.8000399685982883,2
1.2351390239500768,-1.1503090936760267,2
3.247179171155063,-2.2422252041477244,3
0.713153501378877,-0.3943628177390096,2
0.1990945847544319,-0.03381825967251743,2
-0.5297933383638471,1.2603498788026812,1
-0.7655776816733338,-0.39881056687044975,1
0.4752799413044998,0.16054062774773967,2
1.1837299056248507,0.6614957811427709,3
-0.09293281767216974,-0.5445223714475551,2
1.1007751567521413,-0.6987638074955177,2
-0.6800058703394462,0.09884350734019587,1
0.17613705449792055,-2.046686006780467,2
0.6224482666079946,-1.606888797323244,2
0.9598393202443746,-1.5020003396424124,2
-0.38112381171286713,-2.3675373948726772,2
-0.48790897022384383,-0.2931145212598581,1
-0.5875127927595468,0.325831685074368,1
-0.41071793604769724,0.25857795354571494,1
-1.0603300429513445,0.7828508683318759,1
-0.7488514983241136,-0.08998218203199826,1
-0.7279091623678252,0.0870904940783079,1
0.3949124474985594,0.9041752418914036,1
-0.9662762113345621,0.6537735229457775,1
-0.6829917578209431,0.9617013464068238,1
0.5528855546927649,-0.9342491338391372,2
0.2825244013662671,-1.1471430801039417,2
-1.138856961054446,-0.01740428395873216,1
1.2322354887205595,-1.1910428063836778,2
4.956556008430031,-2.9228859663149316,3
-2.433681298612191,-0.14194245355408006,1
-1.184350299635234,0.097413280499761,1
6.187126322982916,-3.7989122261817894,3
-0.34331499032064644,-1.356461991102733,2
-1.735083640121416,0.06513072547113158,1
1.092994778567786,-1.071463639559324,2
-0.830861782476602,-1.8221790270557627,2
1.2703058146998665,-1.069975310545812,2
-0.039651233244581655,-1.444346506110397,2
-0.7410757435972928,0.749548362644632,1
-1.4887523683037076,0.3319064782454292,1
4.811663884233789,0.29953021109767203,3
-0.21978335634548482,0.4891401027027748,1
-1.3468435315847087,-1.7797225745670804,2
-1.4628076319320225,-0.1800085573586811,1
-1.0645682814861166,-0.33070376819418285,1
-1.653704570254078,0.2832149403993687,1
1.7235227714961463,-0.760832016492671,2
-1.6405107843307742,-0.6610230942062534,1
1.4065041729938046,-1.4807129387653473,2
0.1721395204867377,-1.4937028910872727,2
-1.7100085801173126,0.1593304082305054,1
-0.10595244705430797,0.24158828941204188,1
-0.42948813459618673,0.11090825175565511,1
-0.3686603827899294,0.11209095375509431,1
-0.02158551763019832,0.5191649567337825,1
1.341278036463999,-0.23857119954898387,2
2.3003717862883266,-1.4354170975781362,2
4.251264459091555,-2.2139860650560848,3
-1.4368106949442916,-0.0630353212814918,1
-0.1854560116775648,-1.11164909778092,2
-0.8305306603642899,-0.9105014171828947,2
-1.4213003878807375,0.11770819619131104,1
0.6913145537128096,-1.585155549775979,2
4.4532815638410606,1.3032685219869335,3
-1.650698771522255,0.400719102728611,1
